url,file,in_img,has_width,has_height
https://atandra.in,dist\measure\insulation-testers\product\ca6550-ca6555.html,1,0,0
https://atandra.in,dist\measure\micro-ohmmeters\ca6240.html,0,0,0
https://atandra.in,dist\measure\micro-ohmmeters\ca6240.html,1,0,0
https://atandra.in,dist\measure\micro-ohmmeters\ca6255.html,0,0,0
https://atandra.in,dist\measure\micro-ohmmeters\ca6255.html,1,0,0
https://atandra.in,dist\measure\micro-ohmmeters\ca6292.html,0,0,0
https://atandra.in,dist\measure\micro-ohmmeters\ca6292.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi530.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi530.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi630.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi630.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi730.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi730.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi760.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi760.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi820.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\digi820.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\eon40.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\eon40.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\multy4.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\multy4.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\plmr90.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\plmr90.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\plmr91.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\plmr91.html,1,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\plmr93.html,0,0,0
https://atandra.in,dist\measure\multi-functional-meters\product\plmr93.html,1,0,0
https://atandra.in,dist\measure\oscilloscopes\product\ox5022-ox5042.html,0,0,0
https://atandra.in,dist\measure\oscilloscopes\product\ox5022-ox5042.html,1,0,0
https://atandra.in,dist\measure\oscilloscopes\product\ox9062-ox9102-ox9104-ox9304.html,0,0,0
https://atandra.in,dist\measure\oscilloscopes\product\ox9062-ox9102-ox9104-ox9304.html,1,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\alm20.html,0,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\alm20.html,1,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\alm31.html,0,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\alm31.html,1,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\alm36.html,0,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\alm36.html,1,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\ca8345.html,0,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\ca8345.html,1,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\mn93a.html,0,0,0
https://atandra.in,dist\measure\power-quality-analyzers\product\mn93a.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\ma-250.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\ma-250.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-2150.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-2150.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-2250.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-2250.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-3151.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-3151.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-3250.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-3250.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-3360.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-3360.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-3660.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-3660.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-4360.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-4360.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-4460.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-4460.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-4660.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-4660.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-e050.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-e050.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-p360.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-p360.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-s030.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-s030.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-s240.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tc-s240.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tcc-7460.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tcc-7460.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tcc-7660.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tcc-7660.html,1,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tcc-812k.html,0,0,0
https://atandra.in,dist\measure\thermal-imagers\product\tcc-812k.html,1,0,0
https://atandra.in,dist\protect\isolation-transformers.html,0,0,0
https://atandra.in,dist\protect\isolation-transformers.html,1,0,0
https://atandra.in,dist\protect\servo-stabilizers.html,0,0,0
https://atandra.in,dist\protect\servo-stabilizers.html,1,0,0
https://atandra.in,dist\protect\static-stabilizers.html,0,0,0
https://atandra.in,dist\protect\static-stabilizers.html,1,0,0
https://atandra.in,dist\protect\ups.html,0,0,0
https://atandra.in,dist\protect\ups.html,1,0,0
https://atandra.in,dist\protect\isolation-transformers\product\auto-isolation-transformer.html,0,0,0
https://atandra.in,dist\protect\isolation-transformers\product\auto-isolation-transformer.html,1,0,0
