File,HasWidth,HasHeight,Src,Tag
"pages\about\events.tsx",0,0,"src={image.url}","<img                       src={image.url}                       alt={`${activeEvent.title} thumbnail ${index + 1}`}                       className='w-8 h-8 sm:w-10 sm:h-10 md:w-12 md:h-12 lg:w-14 lg:h-14 object-cover'                       loading='lazy'                     />"
"pages\about\events.tsx",0,0,"src={carouselImages[currentSlide].url}","<img                   src={carouselImages[currentSlide].url}                   alt={`Event carousel image ${currentSlide + 1}`}                   className='w-full h-full object-contain object-center bg-white'                   loading='lazy'                   style={{ maxWidth: '100vw', maxHeight: '100%' }}                 />"
"pages\about\OurLeadership.tsx",1,1,"src={member.image}","<img                     src={member.image}                     alt={member.name}                     style={{                       width: '100%',                       height: '100%',                       objectFit: 'cover',                       position: 'absolute',                       top: 0,                       left: 0,                       zIndex: 2                     }}                     width={320}                     height={240}                     onError={(e) =>"
"pages\admin\PopupManager.tsx",0,0,"src={imagePreview}","<img                           src={imagePreview}                           alt='Preview'                           className='w-full h-full object-cover'                         />"
"pages\admin\PopupManager.tsx",0,0,"src={imagePreview}","<img                         src={imagePreview}                         alt='Preview'                         className='w-full h-full object-cover'                       />"
"pages\admin\PopupManager.tsx",0,0,"src={popup.imageUrl}","<img                   src={popup.imageUrl}                   alt={popup.title}                   className='w-full h-full object-cover'                 />"
"pages\conserve\EnergyAudits.tsx",1,1,"src=""https://images.unsplash.com/photo-1551434678-e076c223a692?w=600&h=400&fit=crop&auto=format""","<img                       src='https://images.unsplash.com/photo-1551434678-e076c223a692?w=600&h=400&fit=crop&auto=format'                       alt='Enterprise ESG Reporting Platform'                       className='w-full h-48 sm:h-56 lg:h-64 object-cover rounded-2xl'                       loading='lazy'                       width={1920}                       height={1080}                     />"
"pages\conserve\LightingEnergySaver.tsx",1,1,"src=""/Tenant Billing/2 Dashboard.png""","<img                       src='/Tenant Billing/2 Dashboard.png'                       alt='Tenant Portal Dashboard'                       className='rounded-2xl shadow-2xl border-2 border-green-200 w-full object-cover bg-white'                       style={{ background: 'linear-gradient(135deg, #e0f7ef 0%, #f0fdfa 100%)' }}                       loading='lazy'                       width={320}                       height={240}                     />"
"pages\conserve\OnPremiseSystems.tsx",1,1,"src=""https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=600&h=400&fit=crop&auto=format""","<img                       src='https://images.unsplash.com/photo-1600880292203-757bb62b4baf?w=600&h=400&fit=crop&auto=format'                       alt='Energy Management Experts'                       className='w-full h-auto rounded-xl sm:rounded-2xl shadow-2xl group-hover:scale-105 transition-all duration-500 border-2 sm:border-4 border-green-100'                       loading='lazy'                       width={1920}                       height={1080}                     />"
"pages\conserve\SmartFactorySolution.tsx",1,1,"src=""/VF1.png""","<img                         src='/VF1.png'                         alt='Smart Factory Solution System'                         className='w-full h-auto object-cover group-hover:scale-105 transition-all duration-700'                         loading='lazy'                         width={320}                         height={240}                       />"
